region,threshold_label,cophenetic_r,baker_gamma,ari
ARCO,none,0.984234980637209,1,1
ARCO,0.5,0.9997228032700524,1,1
ARCO,0.25,0.9998009012848378,1,1
ARCO,0.1,1,1,1
ARCO,0.05,0.9979125937521542,0.9534883720930233,0.7368421052631579
ARCO,0.01,0.984884983839525,0.9534883720930233,0.7368421052631579
ARCO,0.001,0.9790712716935911,0.9534883720930233,0.7368421052631579
NIDO,none,0.9910065072650426,0.9857028999629727,0.7581906481734575
NIDO,0.5,0.9999382114341491,1,1
NIDO,0.25,0.9999738415926552,1,1
NIDO,0.1,1,1,1
NIDO,0.05,0.9984731876796936,0.9971968133250252,0.8887680315343609
NIDO,0.01,0.9967018706451819,0.996521044636821,0.8887680315343609
NIDO,0.001,0.9957525732909821,0.9956200197192154,0.8439214341241127
ALL,none,0.9749028853180935,0.9641915718684958,0.7643655279706313
ALL,0.5,0.9725209724212339,0.9709666259186239,0.8925937923268451
ALL,0.25,0.9999428069192273,1,1
ALL,0.1,1,1,1
ALL,0.05,0.972946481397852,0.9640212416681205,0.7829521906081794
ALL,0.01,0.9764136522042427,0.9639462963799553,0.7745814144648915
ALL,0.001,0.9768103711551731,0.9666770301523723,0.8148384622223102
